,Date,Open,High,Low,Volume,Close,Adj Close,compound,neg,pos,neu
157,2009-03-25,7659.810059,7863.629883,7550.060059,454090000,7749.810059,7749.810059,-0.9983,0.256,0.068,0.676
158,2009-03-26,7752.359863,7931.330078,7752.279785,397260000,7924.560059,7924.560059,-0.9962,0.238,0.085,0.677
159,2009-03-27,7922.569824,7922.569824,7735.950195,323650000,7776.180176,7776.180176,-0.9965,0.226,0.066,0.707
160,2009-03-30,7773.310059,7773.390137,7437.589844,383260000,7522.02002,7522.02002,-0.991,0.122,0.029,0.849
161,2009-03-31,7523.77002,7725.359863,7523.450195,399840000,7608.919922,7608.919922,-0.99,0.143,0.063,0.793
162,2009-04-01,7606.129883,7789.0,7483.870117,361340000,7761.600098,7761.600098,-0.9752,0.14,0.078,0.782
163,2009-04-02,7763.990234,8075.72998,7763.990234,442820000,7978.080078,7978.080078,-0.9945,0.205,0.065,0.73
164,2009-04-03,7980.629883,8019.5,7897.240234,308210000,8017.589844,8017.589844,-0.9952,0.167,0.06,0.772
165,2009-04-06,8016.160156,8016.160156,7862.200195,247400000,7975.850098,7975.850098,-0.9958,0.213,0.069,0.718
166,2009-04-07,7968.919922,7969.080078,7762.080078,276920000,7789.560059,7789.560059,-0.9981,0.21,0.033,0.757
167,2009-04-08,7788.680176,7887.52002,7750.850098,255350000,7837.109863,7837.109863,-0.9779,0.137,0.064,0.799
168,2009-04-09,7839.890137,8087.279785,7839.890137,462060000,8083.379883,8083.379883,-0.9971,0.19,0.034,0.775
169,2009-04-13,8082.02002,8113.410156,7963.75,424250000,8057.810059,8057.810059,-0.9947,0.192,0.043,0.765
170,2009-04-14,8057.410156,8057.410156,7902.259766,513010000,7920.180176,7920.180176,-0.9946,0.167,0.048,0.786
171,2009-04-15,7914.919922,8041.319824,7870.47998,413280000,8029.620117,8029.620117,-0.9948,0.199,0.063,0.739
172,2009-04-16,8029.140137,8168.120117,7962.709961,359470000,8125.430176,8125.430176,-0.9975,0.214,0.035,0.75
173,2009-04-17,8125.430176,8190.660156,8086.879883,537670000,8131.330078,8131.330078,-0.9964,0.234,0.089,0.676
174,2009-04-20,8128.939941,8128.939941,7840.450195,453660000,7841.72998,7841.72998,-0.995,0.166,0.051,0.783
175,2009-04-21,7841.72998,7979.200195,7791.950195,424030000,7969.560059,7969.560059,-0.9952,0.192,0.076,0.732
176,2009-04-22,7964.779785,8044.830078,7868.009766,387030000,7886.569824,7886.569824,-0.9869,0.138,0.052,0.809
177,2009-04-23,7886.810059,7979.439941,7804.209961,327240000,7957.060059,7957.060059,-0.9956,0.191,0.091,0.718
178,2009-04-24,7957.450195,8127.5,7957.450195,402720000,8076.290039,8076.290039,-0.9924,0.193,0.081,0.726
179,2009-04-27,8073.819824,8122.560059,7987.160156,282990000,8025.0,8025.0,-0.9837,0.135,0.056,0.809
180,2009-04-28,8023.560059,8091.660156,7938.97998,274710000,8016.950195,8016.950195,-0.9961,0.199,0.067,0.734
181,2009-04-29,8018.310059,8257.570312,8017.910156,300340000,8185.72998,8185.72998,-0.9791,0.128,0.062,0.81
182,2009-04-30,8188.509766,8307.509766,8136.899902,341400000,8168.120117,8168.120117,-0.9969,0.214,0.038,0.748
183,2009-05-01,8167.410156,8219.80957,8099.310059,237360000,8212.410156,8212.410156,-0.9982,0.207,0.082,0.711
184,2009-05-04,8213.599609,8434.860352,8213.599609,354490000,8426.740234,8426.740234,-0.9925,0.154,0.069,0.776
185,2009-05-05,8425.549805,8458.120117,8362.780273,311490000,8410.650391,8410.650391,-0.997,0.221,0.049,0.73
186,2009-05-06,8403.480469,8518.570312,8403.0,454480000,8512.280273,8512.280273,-0.9941,0.197,0.079,0.724
187,2009-05-07,8512.280273,8577.19043,8358.0,476640000,8409.849609,8409.849609,-0.9895,0.151,0.056,0.793
188,2009-05-08,8410.730469,8587.549805,8410.730469,428420000,8574.650391,8574.650391,-0.9983,0.231,0.059,0.709
189,2009-05-11,8569.230469,8569.230469,8410.330078,332630000,8418.769531,8418.769531,-0.9779,0.131,0.064,0.804
190,2009-05-12,8419.169922,8517.459961,8365.650391,334840000,8469.110352,8469.110352,-0.9946,0.171,0.074,0.754
191,2009-05-13,8461.799805,8462.040039,8262.429688,336930000,8284.889648,8284.889648,-0.996,0.178,0.078,0.744
192,2009-05-14,8285.919922,8376.639648,8273.900391,323800000,8331.320312,8331.320312,-0.9891,0.183,0.08,0.737
193,2009-05-15,8326.219727,8394.959961,8230.169922,308820000,8268.639648,8268.639648,-0.1181,0.099,0.084,0.817
194,2009-05-18,8270.150391,8511.879883,8270.150391,288280000,8504.080078,8504.080078,-0.9936,0.173,0.064,0.763
195,2009-05-19,8502.480469,8538.009766,8463.540039,277710000,8474.849609,8474.849609,-0.9721,0.128,0.081,0.79
196,2009-05-20,8471.820312,8591.929688,8405.469727,468640000,8422.040039,8422.040039,-0.9982,0.239,0.032,0.729
197,2009-05-21,8416.070312,8416.150391,8221.009766,302280000,8292.129883,8292.129883,-0.9979,0.243,0.046,0.712
198,2009-05-22,8292.209961,8364.139648,8257.169922,244190000,8277.320312,8277.320312,-0.9925,0.164,0.068,0.768
199,2009-05-26,8277.320312,8495.709961,8226.900391,314760000,8473.490234,8473.490234,-0.9751,0.111,0.069,0.82
200,2009-05-27,8473.650391,8496.589844,8289.349609,285990000,8300.019531,8300.019531,-0.9764,0.145,0.09,0.765
201,2009-05-28,8300.5,8434.620117,8246.580078,290730000,8403.799805,8403.799805,-0.987,0.155,0.088,0.757
202,2009-05-29,8404.040039,8522.950195,8368.519531,361910000,8500.330078,8500.330078,-0.9937,0.158,0.066,0.776
203,2009-06-01,8501.530273,8760.700195,8501.290039,354830000,8721.44043,8721.44043,-0.9886,0.168,0.082,0.749
204,2009-06-02,8721.599609,8787.129883,8693.719727,257560000,8740.870117,8740.870117,-0.9682,0.085,0.053,0.862
205,2009-06-03,8740.070312,8740.389648,8598.379883,252160000,8675.240234,8675.240234,-0.985,0.14,0.062,0.799
206,2009-06-04,8675.280273,8751.25,8634.570312,237800000,8750.240234,8750.240234,-0.8832,0.117,0.084,0.8
207,2009-06-05,8751.75,8839.400391,8700.410156,254970000,8763.129883,8763.129883,0.6681,0.092,0.093,0.815
208,2009-06-08,8759.349609,8823.969727,8633.070312,189630000,8764.490234,8764.490234,-0.9927,0.176,0.07,0.754
209,2009-06-09,8764.830078,8803.259766,8725.120117,187930000,8763.05957,8763.05957,-0.9973,0.248,0.054,0.698
210,2009-06-10,8763.660156,8834.929688,8639.950195,219920000,8739.019531,8739.019531,-0.997,0.183,0.067,0.75
211,2009-06-11,8736.230469,8877.929688,8736.230469,249900000,8770.919922,8770.919922,-0.9861,0.164,0.105,0.73
212,2009-06-12,8770.009766,8805.530273,8716.730469,164020000,8799.259766,8799.259766,-0.9825,0.157,0.082,0.761
213,2009-06-15,8798.5,8798.5,8577.900391,230220000,8612.129883,8612.129883,-0.9981,0.19,0.051,0.758
214,2009-06-16,8612.44043,8643.650391,8499.379883,240690000,8504.669922,8504.669922,-0.9739,0.178,0.119,0.703
215,2009-06-17,8504.360352,8563.009766,8461.290039,237870000,8497.179688,8497.179688,-0.9909,0.145,0.058,0.797
216,2009-06-18,8496.730469,8590.519531,8475.120117,220050000,8555.599609,8555.599609,-0.9954,0.161,0.072,0.767
217,2009-06-19,8556.959961,8616.589844,8496.730469,528710000,8539.730469,8539.730469,-0.9947,0.204,0.104,0.692
218,2009-06-22,8538.519531,8538.830078,8334.549805,291240000,8339.009766,8339.009766,-0.9208,0.113,0.101,0.785
219,2009-06-23,8340.44043,8370.900391,8286.410156,237150000,8322.910156,8322.910156,-0.9934,0.205,0.05,0.746
220,2009-06-24,8323.509766,8428.410156,8259.879883,189430000,8299.860352,8299.860352,-0.9967,0.198,0.063,0.74
221,2009-06-25,8299.25,8490.459961,8259.429688,222540000,8472.400391,8472.400391,-0.9113,0.132,0.115,0.753
222,2009-06-26,8468.540039,8468.769531,8401.360352,307640000,8438.389648,8438.389648,-0.9963,0.194,0.035,0.771
223,2009-06-29,8440.129883,8533.230469,8429.089844,216480000,8529.379883,8529.379883,-0.994,0.147,0.025,0.827
224,2009-06-30,8528.929688,8560.44043,8393.950195,233340000,8447.0,8447.0,-0.9625,0.172,0.132,0.696
225,2009-07-01,8447.530273,8580.469727,8447.530273,184600000,8504.05957,8504.05957,-0.9829,0.123,0.052,0.826
226,2009-07-02,8503.0,8503.230469,8280.740234,157800000,8280.740234,8280.740234,-0.9832,0.174,0.089,0.738
227,2009-07-06,8280.740234,8327.969727,8205.990234,206900000,8324.870117,8324.870117,-0.9981,0.266,0.041,0.692
